image_path,classes
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_10260_11400.jpg,7
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_11400_12540.jpg,
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_1140_2280.jpg,6
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_18240_19380.jpg,6
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_23940_25080.jpg,
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_25080_26220.jpg,
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_26220_27360.jpg,0
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_27360_28500.jpg,7
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_6840_7980.jpg,
data\dataset_2_split\train\images\0-250-ls-r1-1-23nv_9120_10260.jpg,6
data\dataset_2_split\train\images\0-330-ls-14-d01_0_1140.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_10260_11400.jpg,0
data\dataset_2_split\train\images\0-330-ls-14-d01_1140_2280.jpg,6
data\dataset_2_split\train\images\0-330-ls-14-d01_17100_18240.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_21660_22800.jpg,0
data\dataset_2_split\train\images\0-330-ls-14-d01_2280_3420.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_23940_25080.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_26220_27360.jpg,6
data\dataset_2_split\train\images\0-330-ls-14-d01_29640_30780.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_7980_9120.jpg,
data\dataset_2_split\train\images\0-330-ls-14-d01_9120_10260.jpg,0
data\dataset_2_split\train\images\0-340-ls-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\0-340-ls-14-d01_11400_12540.jpg,
data\dataset_2_split\train\images\0-340-ls-14-d01_13680_14820.jpg,2
data\dataset_2_split\train\images\0-340-ls-14-d01_14820_15960.jpg,2
data\dataset_2_split\train\images\0-340-ls-14-d01_18240_19380.jpg,"0,6"
data\dataset_2_split\train\images\0-340-ls-14-d01_22800_23940.jpg,0
data\dataset_2_split\train\images\0-340-ls-14-d01_23940_25080.jpg,
data\dataset_2_split\train\images\0-340-ls-14-d01_26220_27360.jpg,6
data\dataset_2_split\train\images\0-340-ls-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\0-340-ls-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\0-340-ls-14-d01_3420_4560.jpg,"0,7"
data\dataset_2_split\train\images\0-340-ls-14-d01_4560_5700.jpg,
data\dataset_2_split\train\images\0-340-ls-14-d01_5700_6840.jpg,
data\dataset_2_split\train\images\0-341-ls-14-d01_0_1140.jpg,11
data\dataset_2_split\train\images\0-341-ls-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\0-341-ls-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\0-341-ls-14-d01_17100_18240.jpg,0
data\dataset_2_split\train\images\0-341-ls-14-d01_2280_3420.jpg,
data\dataset_2_split\train\images\0-341-ls-14-d01_23940_25080.jpg,
data\dataset_2_split\train\images\0-341-ls-14-d01_26220_27360.jpg,0
data\dataset_2_split\train\images\0-341-ls-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\0-341-ls-14-d01_28500_29640.jpg,
data\dataset_2_split\train\images\0-341-ls-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\0-341-ls-14-d01_3420_4560.jpg,7
data\dataset_2_split\train\images\0-341-ls-14-d01_5700_6840.jpg,
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_12540_13680.jpg,2
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_13680_14820.jpg,7
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_15960_17100.jpg,
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_28500_29640.jpg,6
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_29640_30780.jpg,
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_4560_5700.jpg,0
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_5700_6840.jpg,"2,7"
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_6840_7980.jpg,
data\dataset_2_split\train\images\0-360-ls-r1-1-31he_9120_10260.jpg,
data\dataset_2_split\train\images\0-590-ls-14-d01_0_1140.jpg,2
data\dataset_2_split\train\images\0-590-ls-14-d01_10260_11400.jpg,7
data\dataset_2_split\train\images\0-590-ls-14-d01_13680_14820.jpg,
data\dataset_2_split\train\images\0-590-ls-14-d01_14820_15960.jpg,0
data\dataset_2_split\train\images\0-590-ls-14-d01_18240_19380.jpg,0
data\dataset_2_split\train\images\0-590-ls-14-d01_19380_20520.jpg,0
data\dataset_2_split\train\images\0-590-ls-14-d01_27360_28500.jpg,7
data\dataset_2_split\train\images\0-590-ls-14-d01_28500_29640.jpg,0
data\dataset_2_split\train\images\0-590-ls-14-d01_29640_30780.jpg,
data\dataset_2_split\train\images\0-590-ls-14-d01_30780_31920.jpg,
data\dataset_2_split\train\images\0-590-ls-14-d01_5700_6840.jpg,
data\dataset_2_split\train\images\0-590-ls-14-d01_9120_10260.jpg,6
data\dataset_2_split\train\images\0-600-ls-14-g02_0_1140.jpg,
data\dataset_2_split\train\images\0-600-ls-14-g02_11400_12540.jpg,1
data\dataset_2_split\train\images\0-600-ls-14-g02_12540_13680.jpg,0
data\dataset_2_split\train\images\0-600-ls-14-g02_19380_20520.jpg,7
data\dataset_2_split\train\images\0-600-ls-14-g02_20520_21660.jpg,0
data\dataset_2_split\train\images\0-600-ls-14-g02_2280_3420.jpg,0
data\dataset_2_split\train\images\0-600-ls-14-g02_23940_25080.jpg,0
data\dataset_2_split\train\images\0-600-ls-14-g02_27360_28500.jpg,0
data\dataset_2_split\train\images\0-600-ls-14-g02_29640_30780.jpg,
data\dataset_2_split\train\images\0-600-ls-14-g02_30780_31920.jpg,1
data\dataset_2_split\train\images\0-600-ls-14-g02_3420_4560.jpg,7
data\dataset_2_split\train\images\0-600-ls-14-g02_4560_5700.jpg,
data\dataset_2_split\train\images\0-620-ls-14-g02_10260_11400.jpg,7
data\dataset_2_split\train\images\0-620-ls-14-g02_1140_2280.jpg,6
data\dataset_2_split\train\images\0-620-ls-14-g02_12540_13680.jpg,1
data\dataset_2_split\train\images\0-620-ls-14-g02_18240_19380.jpg,6
data\dataset_2_split\train\images\0-620-ls-14-g02_19380_20520.jpg,
data\dataset_2_split\train\images\0-620-ls-14-g02_20520_21660.jpg,0
data\dataset_2_split\train\images\0-620-ls-14-g02_22800_23940.jpg,0
data\dataset_2_split\train\images\0-620-ls-14-g02_2280_3420.jpg,0
data\dataset_2_split\train\images\0-620-ls-14-g02_28500_29640.jpg,
data\dataset_2_split\train\images\0-620-ls-14-g02_29640_30780.jpg,11
data\dataset_2_split\train\images\0-620-ls-14-g02_5700_6840.jpg,1
data\dataset_2_split\train\images\0-630-ls-14-g02_14820_15960.jpg,0
data\dataset_2_split\train\images\0-630-ls-14-g02_22800_23940.jpg,0
data\dataset_2_split\train\images\0-630-ls-14-g02_2280_3420.jpg,
data\dataset_2_split\train\images\0-630-ls-14-g02_23940_25080.jpg,
data\dataset_2_split\train\images\0-630-ls-14-g02_27360_28500.jpg,"0,7"
